"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"Os01g0115533",76,88,58,91,88,97
"Os01g0874900",3316,3439,3139,2565,4731,4634
"Os01g0746200",1806,1757,1641,1612,1795,1738
"Os01g0973000",12,6,0,30,6,10
"Os01g0507700",930,934,1227,1654,2177,2227
"Os01g0233000",3321,2529,2341,2879,4638,4280
"Os01g0779300",334,423,325,407,441,495
"Os01g0938100",831,556,1034,1201,1572,1330
"Os01g0166300",184,117,152,100,135,147
"Os01g0290650",27,32,16,35,26,41
"Os01g0155000",34,24,18,12,6,4
"Os01g0923900",1195,1159,910,1111,1155,1352
"Os01g0951000",2670,2573,2634,3011,3226,3138
"Os01g0867100",710,596,584,686,662,751
"Os01g0695700",47,57,40,65,97,77
"Os01g0613300",765,1000,831,1147,1448,1325
"Os01g0101200",1161,1090,1523,3218,5100,5150
"Os01g0699600",122,241,313,130,20,20
"Os01g0545900",82,63,52,40,70,56
"Os01g0705500",92,106,81,109,120,160
"Os01g0759400",52,40,24,35,26,21
"Os01g0176700",67,107,86,87,92,92
"Os01g0102800",857,866,692,823,759,668
"Os01g0205200",400,290,311,536,550,352
"Os01g0863166",612,769,872,768,868,764
"Os01g0772400",892,902,636,632,574,629
"Os01g0851300",12,14,10,12,4,8
"Os01g0737200",19,14,6,7,22,18
"Os01g0254900",3275,3144,2560,2782,2630,2656
"Os01g0958400",811,991,769,904,759,829
"Os01g0770700",47,85,38,39,69,49
"Os01g0158900",764,884,781,764,810,676
"Os01g0934000",1219,1515,1176,1443,1524,1158
"Os01g0723600",1344,1519,1490,673,94,89
"Os01g0672700",1619,1387,1369,1403,1391,1381
"Os01g0930200",9829,10900,9219,7727,8306,8155
"Os01g0135900",1013,1397,940,757,707,727
"Os01g0905800",10659,12125,9078,11282,12989,11031
"Os01g0910500",793,1367,783,1200,3256,2497
"Os01g0292900",12084,13015,10047,8436,7950,7609
"Os01g0664500",1265,1123,846,1173,910,1037
"Os01g0690200",48,76,54,120,116,89
"Os01g0298301",122,218,128,120,194,84
"Os01g0207400",138,143,138,255,543,476
"Os01g0966400",2925,2815,2444,2605,2365,2188
