"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0373400",2860.47138060834,-1.84043415612596,0.388246465286934,-4.74037581968913,2.13322163942435e-06,7.50900799976067e-05
"Os05g0324700",669.791895426085,-1.41443549922635,0.298706976243385,-4.73519405878849,2.18845599120614e-06,7.69120700020558e-05
"Os07g0541500",2573.88078911433,-1.14435180534664,0.241949429509257,-4.72971483201146,2.24835424920459e-06,7.8767106695631e-05
"Os06g0700500",1908.59919028085,-1.05714929828138,0.223735807280713,-4.72498931275232,2.30127458639819e-06,8.02401899487281e-05
"Os05g0462400",2446.15835987473,-1.06858313788787,0.226512466346341,-4.71754669897058,2.38705619689367e-06,8.27101897580951e-05
"Os05g0312000",7351.28865615179,-1.05410507739289,0.223642988663582,-4.71333835990962,2.43691044938928e-06,8.39123394400124e-05
"Os01g0644900",35.8117222378155,-3.09154683080749,0.656156610140242,-4.71159900400413,2.45780641724664e-06,8.42388419260959e-05
"Os09g0509500",686.716526779484,-1.17761968378452,0.250032517448124,-4.70986612382869,2.47879557648847e-06,8.48269132287963e-05
"Os06g0584400",223.982684809831,-2.20046762427029,0.467987391477649,-4.70198057542195,2.57650016014501e-06,8.74943098861512e-05
"Os03g0582200",4605.72642488028,-1.06882101790471,0.227772296911546,-4.6924978691319,2.6988934710026e-06,9.09531207632704e-05
