,CK_1,CK_2,CK_3,Cd_1,Cd_2,Cd_3
Os01g0169800,207,278,245,354,264,169
Os01g0158600,0,0,0,0,0,0
Os01g0833200,1263,1357,1144,1397,1694,1468
Os01g0713800,1,1,0,0,0,0
Os01g0133700,0,0,0,0,0,0
Os01g0653500,0,0,0,0,0,0
Os01g0570601,3,6,13,2,10,5
Os01g0323500,0,0,0,0,0,0
Os01g0136000,0,0,0,0,0,0
Os01g0600900,120,356,167,221,346,424
Os01g0550000,2641,2605,2109,2453,2385,2142
Os01g0622033,233,216,157,133,133,126
Os01g0844700,0,0,1,0,0,0
Os01g0158800,0,0,0,0,0,0
Os01g0357150,0,0,0,0,0,0
Os01g0809450,2,2,0,2,1,0
Os01g0800900,0,0,0,0,0,0
Os01g0859600,1003,1092,798,853,727,570
Os01g0172701,1,4,2,5,1,1
Os01g0938400,3,2,5,6,19,4
Os01g0842801,1,0,5,1,1,3
Os01g0255100,1,2,1,4,1,2
Os01g0740651,33,47,21,21,22,28
Os01g0309900,1189,1119,1132,1179,1418,1452
Os01g0259200,2663,2858,2125,2183,2117,2231
Os01g0715201,0,0,0,0,0,0
Os01g0590900,563,579,582,595,607,603
Os01g0376600,18,8,30,2,3,0
Os01g0800800,0,0,0,0,0,0
Os01g0231600,3,4,0,1,4,1
Os01g0216951,0,0,0,0,0,0
Os01g0869750,0,2,0,6,1,0
Os01g0627701,0,0,0,0,0,0
Os01g0702450,10,5,7,6,1,5
Os01g0586801,0,0,0,0,0,0
Os01g0871800,197,132,235,109,118,164
Os01g0267100,1686,1449,1459,1794,2077,1961
Os01g0785900,0,0,0,0,0,0
Os01g0679000,700,503,536,575,553,455
Os01g0778800,9675,11584,6870,5340,3397,2514
Os01g0961600,656,568,549,566,592,511
Os01g0244966,0,0,0,0,0,0
Os01g0627500,132,90,54,78,40,53
Os01g0911800,1480,1240,1139,1187,1344,1520
Os01g0170900,4,1,5,11,6,6
Os01g0949750,277,508,317,287,196,147
Os01g0931600,0,1,0,0,0,0
Os01g0562525,0,0,0,0,0,0
Os01g0823400,13,9,13,22,13,14
Os01g0168300,266,324,242,276,261,256
Os01g0182900,509,600,435,606,502,511
Os01g0861900,90,108,90,118,176,154
Os01g0209400,457,597,407,498,328,347
Os01g0118700,635,796,627,570,625,560
Os01g0810401,89,91,88,110,104,119
Os01g0143900,326,515,252,230,166,96
Os01g0150400,2,3,2,2,6,7
Os01g0862600,55,54,71,55,72,73
Os01g0589800,340,317,448,410,544,644
Os01g0348900,57,8,5,4,4,0
Os01g0619000,1058,1232,1113,1131,1385,1240
Os01g0184900,4199,4068,3475,3833,4109,3843
Os01g0135600,60,101,79,126,182,161
Os01g0548000,0,0,0,0,0,0
Os01g0960400,1351,1522,1166,1037,970,778
Os01g0900900,448,388,401,643,800,691
Os01g0149400,5,0,2,2,5,3
Os01g0265800,1084,1238,1058,1084,1141,1155
Os01g0834800,0,1,2,0,0,0
Os01g0831800,0,0,0,0,0,0
Os01g0694050,0,0,1,0,0,0
Os01g0210300,0,0,0,0,0,0
Os01g0880400,259,267,255,348,327,324
Os01g0901500,203,247,260,195,286,250
Os01g0558600,4516,4849,3528,3323,2837,2703
Os01g0116901,94,148,95,102,108,126
Os01g0894300,1433,1500,1218,1385,1414,1380
Os01g0567400,583,828,661,612,1100,710
Os01g0237000,7,2,5,2,6,15
Os01g0172600,21,24,9,8,22,7
Os01g0946300,9,4,6,14,3,11
Os01g0694400,127,102,101,99,100,102
Os01g0242200,0,0,0,3,1,0
Os01g0162900,0,0,0,0,0,0
Os01g0666600,215,270,178,202,196,223
Os01g0560000,1589,1616,1213,1332,1325,1272
Os01g0692200,5,7,7,9,15,9
Os01g0652600,2894,2636,2479,2985,3375,2834
Os01g0105400,70,88,54,72,122,94
Os01g0844850,0,0,1,1,0,1
Os01g0500900,246,224,198,307,239,297
Os01g0886500,697,756,611,576,693,655
Os01g0584200,0,8,0,1,0,0
Os01g0605300,32,33,26,21,30,24
Os01g0627916,0,0,0,0,0,0
Os01g0498300,110,188,122,84,31,24
Os01g0673500,823,962,823,881,857,833
Os01g0673300,88,158,100,94,127,122
Os01g0114050,0,0,0,0,0,0
Os01g0816100,684,995,874,314,140,93
Os01g0360150,0,0,0,0,0,0
Os01g0639600,471,833,413,407,213,289
Os01g0816500,0,0,0,0,0,0
Os01g0268900,329,397,447,558,681,632
Os01g0915401,0,0,0,0,0,0
Os01g0147250,5,2,3,5,0,3
Os01g0219300,29,30,18,25,16,15
Os01g0342800,31,56,46,66,50,81
Os01g0757800,797,749,770,805,862,793
Os01g0781100,183,104,57,118,37,51
Os01g0926800,4102,6952,3354,3373,1957,1582
